exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,73406,0,0,1463432,0,0,2631357,1106043,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1165132,0,0,2121431,1106812,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1161568,0,0,2020926,1105204,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,45817,0,0,40160,18857,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1183850,0,0,2049768,1106114,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1611291,0,0,2923374,1104925,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1284844,0,0,2301838,1104437,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1463433,0,0,2609914,1103948,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1316831,0,0,2015755,1105695,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,1164151,0,0,2091397,1105344,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,312620,0,0,60764,0,0,81438,29405,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1195863,0,0,2034335,1114215,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,66980,0,0,81926,29894,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1272760,0,0,2241281,1121618,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1621766,0,0,2911361,1119801,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1198585,0,0,2054242,1116659,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1217654,0,0,2125971,1122248,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1914970,0,0,3179630,1121129,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,1276250,0,0,2222491,1117288,1,0,0,0
