exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,69612,0,0,77415,39196,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,71673,0,0,99664,41151,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,72963,0,0,75364,40388,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,73561,0,0,84285,37846,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,70950,0,0,77987,40817,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,77090,0,0,80017,43025,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,67511,0,0,80458,33943,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,72780,0,0,83825,37797,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,73999,0,0,74766,37789,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,0,0,0,72210,0,0,77028,37878,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,87967,0,0,140635,67340,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,86767,0,0,138913,59580,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,89504,0,0,135234,63853,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,93786,0,0,139987,66567,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,93756,0,0,146034,67482,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,86862,0,0,148946,66349,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,90732,0,0,139914,65278,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,89629,0,0,141800,61830,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,87513,0,0,154055,59499,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,0,0,0,91623,0,0,153272,62975,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,151447,0,0,401279,158307,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,155046,0,0,405852,164364,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,153472,0,0,398194,163647,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,156734,0,0,405295,172485,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,156340,0,0,386897,159190,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,156267,0,0,400962,160248,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,154249,0,0,388204,161343,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,153579,0,0,385975,155776,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,157027,0,0,391744,160237,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,TINY_DATASET,NONE,0,1,CUDA,1,128,128,128,0,0,0,153568,0,0,387787,154058,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,741987,0,0,1320599,527955,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,747912,0,0,1286496,514448,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,741694,0,0,1283511,529619,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,738846,0,0,1327065,521696,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,739104,0,0,1322923,531843,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,754526,0,0,1311561,517545,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,745231,0,0,1262899,517231,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,745975,0,0,1252218,523819,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,756360,0,0,1286277,516665,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,SMALL_DATASET,NONE,0,1,CUDA,1,256,256,256,0,0,0,741719,0,0,1307704,505995,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,24244170,0,0,4313567,1700234,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4916040,0,0,4332824,13612380,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4927075,0,0,3799846,1588646,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,5910427,0,0,10138189,1715914,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4919045,0,0,4221324,1708168,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,6410144,0,0,8337235,1731701,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,15471587,0,0,4117556,1639132,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,16930653,0,0,4259106,1766316,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4902943,0,0,4328657,1760682,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,MEDIUM_DATASET,NONE,0,1,CUDA,1,512,512,512,0,0,0,4918515,0,0,4272701,13681809,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,36415346,0,0,18936455,5938494,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,42362961,0,0,27052183,13847724,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,44272362,0,0,30535949,6004704,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,42815303,0,0,26967473,5831630,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,36431665,0,0,15320618,29887295,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,39166457,0,0,29986410,5926598,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,36395337,0,0,27139269,17913792,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,STANDARD_DATASET,NONE,0,1,CUDA,1,1024,1024,1024,0,0,0,44201194,0,0,26499879,6029264,1,0,0,0
