exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,46655,2536371,2536371,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,46586,2681440,2681440,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,60833,2157400,2157400,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,60904,2124157,2124157,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,46237,2338786,2338786,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,46027,2102293,2102293,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,51405,2135543,2135543,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,50078,2144202,2144202,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,46237,2087626,2087626,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,TOY_DATASET,DYNAMIC,16,24,OMP,24,32,32,32,50078,2115706,2115706,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,1,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,46865,5397031,5397031,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,2,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,75641,2196233,2196233,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,3,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,75292,2166343,2166343,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,4,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,71171,2223123,2223123,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,5,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,41417,5327955,5327955,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,6,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,46725,5478891,5478891,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,7,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,46655,5124012,5124012,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,8,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,46167,2688491,2688491,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,9,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,60554,2208179,2208179,0,0,0,0,0,1,0,0,0
all-data-sizes-and-chunk-sizes-evaluation,10,gemm,TOY_DATASET,DYNAMIC,32,24,OMP,24,32,32,32,57062,2136795,2136795,0,0,0,0,0,1,0,0,0
