"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_dt_h2d","mean_dt_d2h","mean_cuda","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","sd_cuda","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h","se_cuda","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"584","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"EXTRALARGE_DATASET",4096,4096,4096,2,0,122421319973,125906734529,3226467439,0,0,170938494,88008623,3226467439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125906734529,0,0,0,2,2,2
"585","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"HUGE_DATASET",8192,8192,8192,2,0,1070698290973,1099191490222,26298242204,0,0,1643814954,551142091,26298242204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099191490222,0,0,0,2,2,2
"586","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"LARGE_DATASET",2048,2048,2048,2,0,10361044143,10870582858,455881846,0,0,30335946,23320923,455881846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10870582858,0,0,0,2,2,2
"587","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"MEDIUM_DATASET",512,512,512,2,0,343746178,359061559,7476967,0,0,4905887,2932527,7476967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359061559,0,0,0,2,2,2
"588","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"MINI_DATASET",64,64,64,2,0,11463492,11463492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11463492,0,0,2,0,0,0
"589","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"SMALL_DATASET",256,256,256,2,0,243789840,245473420,630408,0,0,738457,314715,630408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245473420,0,0,0,2,2,2
"590","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"STANDARD_DATASET",1024,1024,1024,2,0,1796950500,1871657464,59452767,0,0,10447554,4806643,59452767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871657464,0,0,0,2,2,2
"591","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"TINY_DATASET",128,128,128,2,0,15897387,15897387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15897387,0,0,2,0,0,0
"592","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,1,"TOY_DATASET",32,32,32,2,0,11322555,11322555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11322555,0,0,2,0,0,0
"593","all-data-sizes-and-chunk-sizes-evaluation","OMP+OFF","DYNAMIC",32,2,"EXTRALARGE_DATASET",4096,4096,4096,2,0,128702875838,132192930420,3240091022,0,0,183869349,66094211,3240091022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132192930420,0,0,0,2,2,2
