Execution,benchmark,size_of_data,schedule,chunk_size,num_threads,exp,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H
1,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,87061451125,14252168809,14252168809,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,80926055581,11711567783,11711567783,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,92767979700,14935810101,14935810101,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,93120335950,16887550958,16887550958,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,92903204131,15901084965,15901084965,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,86492093762,16583731706,16583731706,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,91253547432,15578891900,15578891900,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,97602520360,19379809800,19379809800,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,85729927229,12866640156,12866640156,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,32,12,OMP+OFF,12,2048,2048,2048,91812548338,15135801811,15135801811,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,91758223031,18138723268,18138723268,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,94136325651,17720031350,17720031350,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,92709629485,16466044448,16466044448,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,94440673962,17243610194,17243610194,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,92912687918,15369226490,15369226490,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,93459236013,17042996411,17042996411,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,94768869989,16339372159,16339372159,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,93290303205,17269372955,17269372955,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,92718321159,17345953755,17345953755,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,64,12,OMP+OFF,12,2048,2048,2048,92273059288,16934595133,16934595133,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,115111662100,21129326083,21129326083,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,99898148703,21766200559,21766200559,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,89166407366,18007756129,18007756129,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,92003331904,18720140200,18720140200,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,92368264964,21253256215,21253256215,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,92152494295,23162896279,23162896279,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,99372560866,20921290993,20921290993,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,84213712204,17540314285,17540314285,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,90500922986,19129072699,19129072699,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,128,12,OMP+OFF,12,2048,2048,2048,91719689861,20974000513,20974000513,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,99578412489,26507448992,26507448992,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,80009057840,12139976001,12139976001,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,94966478520,13741387216,13741387216,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,80288468644,19282133603,19282133603,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,80277955612,12609721697,12609721697,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,85717904886,12328977132,12328977132,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,81254204415,13686024495,13686024495,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,81281837876,12278583099,12278583099,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,96273050110,19637653451,19637653451,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,256,12,OMP+OFF,12,2048,2048,2048,80331539797,19343611989,19343611989,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,80834825783,7505101662,7505101662,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,101477295991,15127153095,15127153095,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,81843576735,7598312098,7598312098,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,80517376938,7417835098,7417835098,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,94806530057,7706509089,7706509089,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,80775579270,7491935215,7491935215,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,80473973424,7575271535,7575271535,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,80306633102,7563045255,7563045255,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,103386267082,15367823707,15367823707,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,2048,2048,2048,88376159003,7607202998,7607202998,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80613012408,8374794179,8374794179,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,81154291057,8561079610,8561079610,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80154505033,8567473980,8567473980,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80647758111,8287479655,8287479655,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80887847080,8295368541,8295368541,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80460785107,8299489930,8299489930,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,92320044422,8510472132,8510472132,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80645225325,8806222395,8806222395,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80300716902,9332824893,9332824893,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP+OFF,24,2048,2048,2048,80832100154,8436871396,8436871396,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,81693230193,8440504721,8440504721,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,86587324226,8465256299,8465256299,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,80144529311,8944414529,8944414529,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,80570538842,8776744410,8776744410,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,87579571340,13507149499,13507149499,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,92480568807,8747766626,8747766626,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,80699868453,9051673019,9051673019,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,81188395335,8525967576,8525967576,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,80483759031,8842141221,8842141221,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP+OFF,24,2048,2048,2048,96056670993,16202179746,16202179746,0,0,0,0,0
1,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80578387191,12361544809,12361544809,0,0,0,0,0
2,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80803175298,12301519594,12301519594,0,0,0,0,0
3,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80706289421,16777430915,16777430915,0,0,0,0,0
4,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,87918479000,19685771800,19685771800,0,0,0,0,0
5,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80918312670,12386121385,12386121385,0,0,0,0,0
6,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80573305603,13600006947,13600006947,0,0,0,0,0
7,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80496478469,12168536903,12168536903,0,0,0,0,0
8,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80364808303,20466875835,20466875835,0,0,0,0,0
9,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80340647939,19723554681,19723554681,0,0,0,0,0
10,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP+OFF,24,2048,2048,2048,80746031199,12556661524,12556661524,0,0,0,0,0
