exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,85392321477,10322879019,10322879019,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,86393831283,9906676379,9906676379,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,89107304920,10670799580,10670799580,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,88997645849,10872648191,10872648191,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,80995131787,7827124340,7827124340,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,89752530865,10811127683,10811127683,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,92438772301,10690881971,10690881971,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,98181676686,13903253412,13903253412,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,92166566244,10820403956,10820403956,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2048,2048,2048,81081763800,7805388011,7805388011,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,89658891210,11642459630,11642459630,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,89229726190,11142713663,11142713663,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,93891183121,12525775506,12525775506,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,89867326761,11055642143,11055642143,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,95830425403,11474314004,11474314004,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,85436488088,10683741685,10683741685,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,88916320075,11096876123,11096876123,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,89884713296,10969203751,10969203751,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,96138663803,13266949565,13266949565,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2048,2048,2048,90263475796,11044269124,11044269124,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,81378636491,8804404682,8804404682,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,89503772623,11948996043,11948996043,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,90244680006,12005289110,12005289110,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,89608649769,11888111277,11888111277,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,89790448033,13904465023,13904465023,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,93550101016,12014921135,12014921135,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,89935380070,12409552194,12409552194,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,109102708414,18957287722,18957287722,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,90214211881,11357165571,11357165571,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,LARGE_DATASET,DYNAMIC,64,24,OMP,24,2048,2048,2048,90086022330,13056070343,13056070343,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,93329352917,14475041985,14475041985,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,89831289386,14472144327,14472144327,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,84870641578,12257543074,12257543074,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,105071292437,19255116180,19255116180,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,93996226985,14357845517,14357845517,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,90350010013,14672804598,14672804598,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,97405682142,15809054573,15809054573,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,80543678548,9052014468,9052014468,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,92454776802,13342572770,13342572770,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,LARGE_DATASET,DYNAMIC,128,24,OMP,24,2048,2048,2048,91508274722,14197482115,14197482115,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,89861462735,17545683140,17545683140,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,85997289102,14330405834,14330405834,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,90774284235,29381673102,29381673102,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,102997292797,25573417557,25573417557,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,92349328981,15903892962,15903892962,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,90693482198,17859929099,17859929099,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,100511920871,24428682971,24428682971,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,97328983456,22777473406,22777473406,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,85541642019,14963345439,14963345439,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,LARGE_DATASET,DYNAMIC,256,24,OMP,24,2048,2048,2048,89720953055,17341608433,17341608433,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,90139620602,12456204233,12456204233,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,89271682908,12803800409,12803800409,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,90179779675,12341930817,12341930817,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,101294150261,17167973882,17167973882,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,91207914369,12177538797,12177538797,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,91102669391,11541771846,11541771846,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,93196490622,12549391039,12549391039,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,LARGE_DATASET,DYNAMIC,16,22,OMP,22,2048,2048,2048,97054742457,14643214602,14643214602,0,0,0,0,0,1,0,0,0
