exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
chunk_size_evaluation,1,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1155679204568,152816670731,152816670731,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1364232955882,183950251720,183950251720,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1047027497930,136840748928,136840748928,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,949826218396,116244350688,116244350688,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1038009834727,127206294899,127206294899,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,993552838185,138262895319,138262895319,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1007742946192,138850368075,138850368075,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1031773751237,132163231091,132163231091,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1007847213910,123349437604,123349437604,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,1105909688832,137536111337,137536111337,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,gemm,EXTRALARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,4096,4096,4096,1096725778149,121950101247,121950101247,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,gemm,EXTRALARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,4096,4096,4096,1025674481685,135518940726,135518940726,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,gemm,EXTRALARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,4096,4096,4096,1144858532924,159134204569,159134204569,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,gemm,EXTRALARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,4096,4096,4096,989964742430,134518956810,134518956810,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,gemm,EXTRALARGE_DATASET,DYNAMIC,32,24,OMP+OFF,24,4096,4096,4096,962292476003,128184623640,128184623640,0,0,0,0,0,1,0,0,0
