"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"66","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,1,"EXTRALARGE_DATASET",4096,4096,4096,1,1029426589821,102056915869,102228560247,34799569,0,0,34799569,136841037,3772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102228560247,NA,NA,0,1,1,1
"67","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,2,"EXTRALARGE_DATASET",4096,4096,4096,1,958028332072,123965369498,128204422782,3875999209,0,0,3875999209,271904877,91149198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128204422782,NA,NA,0,1,1,1
"68","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,4,"EXTRALARGE_DATASET",4096,4096,4096,1,965882753857,118642742224,122825451944,3872986278,0,0,3872986278,203235028,106488414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122825451944,NA,NA,0,1,1,1
"69","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,6,"EXTRALARGE_DATASET",4096,4096,4096,1,951441987048,418113777439,422320425190,3862217507,0,0,3862217507,271850757,72579487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422320425190,NA,NA,0,1,1,1
"70","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,8,"EXTRALARGE_DATASET",4096,4096,4096,1,1092209011813,238874344588,243100945189,3862428260,0,0,3862428260,290946817,73225524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243100945189,NA,NA,0,1,1,1
"71","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,10,"EXTRALARGE_DATASET",4096,4096,4096,1,1015042153034,192350051043,192350051043,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192350051043,NA,NA,1,0,0,0
"72","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,12,"EXTRALARGE_DATASET",4096,4096,4096,1,1072991796337,186852942326,186852942326,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186852942326,NA,NA,1,0,0,0
"73","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,14,"EXTRALARGE_DATASET",4096,4096,4096,1,985659261957,175295144903,175295144903,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175295144903,NA,NA,1,0,0,0
"74","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,16,"EXTRALARGE_DATASET",4096,4096,4096,1,944916472951,179405212235,179405212235,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179405212235,NA,NA,1,0,0,0
"75","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,18,"EXTRALARGE_DATASET",4096,4096,4096,1,1017653628616,175339324932,175339324932,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175339324932,NA,NA,1,0,0,0
"76","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,20,"EXTRALARGE_DATASET",4096,4096,4096,1,1434640098490,207766377903,207766377903,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207766377903,NA,NA,1,0,0,0
