"x","y","z","z_se","z_sd","t","t_se","t_sd","cat"
"1","0",0,0,0,89390460180,3185095710,10072157008,"SEQ"
"1","0",130405619039.8,25880927591.4622,81842679146.9164,323689761.5,70469.5306994448,222844.222653404,"CUDA"
"1","16",88768240865.6,259114055.51903,819390589.203459,89838526454.6,415661740.50938,1314437836.19952,"OMP"
"2","16",79974619830.2,109612630.545698,346625572.846949,50076537931.5,152740166.446709,483006816.164827,"OMP"
"4","16",89424709201.8,291678965.442681,922369876.360414,41181304326.2,484231653.635328,1531274940.63739,"OMP"
"6","16",90337155058.2,3531098680.90035,11166314474.4612,21567559705.9,1384118465.19832,4376966901.52319,"OMP"
"8","16",90123878278.9,151370890.17536,478676784.401343,18322579039.6,468299340.92303,1480892544.07247,"OMP"
"10","16",94020690553,2790896570.94423,8825589878.13746,16505746465.4,2239505637.6693,7081938647.82276,"OMP"
"12","16",93436619543.7,3977668915.109,12578493549.7954,14227422814.4,1695542873.2171,5361777349.83215,"OMP"
"14","16",88642623673.8,291530662.412777,921900901.002015,13617973850.8,193495024.569721,611884993.55056,"OMP"
"16","16",91961130128,1996575060.18605,6313724709.67568,14652795867.9,669548283.071851,2117297577.96221,"OMP"
"18","16",92606103024.9,3373497274.03697,10667935066.326,14403022493.8,1493797473.0564,4723802377.86222,"OMP"
"20","16",91356741181.1,3829210352.39057,12109026353.4502,13765385024.5,1580738409.66728,4998733759.46094,"OMP"
"22","16",92393479415.4,2438210328.18827,7710298051.62159,13103977894.9,1032445562.82535,3264879538.66258,"OMP"
"24","16",88450754521.2,3335335661.57632,10547257451.7657,10363118254.2,1087040931.80571,3437525254.33781,"OMP"
"1","16",86315457467.2,2592415218.51799,8197936731.39997,15021046722.3,517388225.572966,1636125227.36355,"OMP+OFF"
"2","16",86527673560.5,2689726680.26693,8505662592.96696,18457653769.5,1753626393.88597,5545453569.66724,"OMP+OFF"
"4","16",85918516336.7,2585706691.184,8176722505.27906,19829799259,1954419067.90018,6180415757.02784,"OMP+OFF"
"6","16",87306823243.3,2437686426.04065,7708641327.56406,19481491727.4,1314374962.11342,4156418579.77593,"OMP+OFF"
"8","16",88929773261.1,2073263634.55019,6556235275.17756,20508124303.7,1323324723.75057,4184720211.06492,"OMP+OFF"
"10","16",84283523367.3,2832964288.66987,8958619682.11552,17555897760.1,1750818647.03382,5536574694.52127,"OMP+OFF"
"12","16",82467740537.4,2891964905.60132,9145196014.97401,10111984231.9,1414278513.30861,4472341347.89197,"OMP+OFF"
"14","16",85284057360.7,2842724951.55752,8989485608.31359,11795380138.7,2005815814.65644,6342946541.1005,"OMP+OFF"
"16","16",87164292742.8,2147141981.67122,6789859121.84856,13112392192.8,1672035904.0786,5287441786.46721,"OMP+OFF"
"18","16",80806543823.5,1774434283.94737,5611253895.56365,8576392228.3,1319553409.92862,4172794269.61629,"OMP+OFF"
"20","16",86489030047.4,2846365992.23881,9000999589.91978,12071141383.3,1835568282.065,5804576572.08781,"OMP+OFF"
"22","16",85605173219.7,3019531284.17308,9548596324.12006,10680783152.6,1755968521.43822,5552860027.30299,"OMP+OFF"
"24","16",84541455569.2,3006930182.78286,9508748142.70027,8947520152.2,910369838.321393,2878842202.21484,"OMP+OFF"
