"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_dt_h2d","se_dt_d2h"
"1","chunk_size_evaluation","CUDA","NONE",0,1,"LARGE_DATASET",2048,2048,2048,10,130405619039.8,-381660698,0,323689761.5,0,0,323689761.5,44044299.5,13926637,81842679146.9164,33013225.8898423,0,222844.222653404,0,0,24136141.8153659,8854014.56949663,25880927591.4622,10439698.6721541,0,70469.5306994448,0,0,7632518.20653875,2799885.24759246
"2","chunk_size_evaluation","OMP","DYNAMIC",16,1,"LARGE_DATASET",2048,2048,2048,10,88768240865.6,89838526454.6,89838526454.6,0,0,0,0,0,0,819390589.203459,1314437836.19952,1314437836.19952,0,0,0,0,0,259114055.51903,415661740.50938,415661740.50938,0,0,0,0,0
"3","chunk_size_evaluation","OMP","DYNAMIC",16,2,"LARGE_DATASET",2048,2048,2048,10,79974619830.2,50076537931.5,50076537931.5,0,0,0,0,0,0,346625572.846949,483006816.164827,483006816.164827,0,0,0,0,0,109612630.545698,152740166.446709,152740166.446709,0,0,0,0,0
"4","chunk_size_evaluation","OMP","DYNAMIC",16,4,"LARGE_DATASET",2048,2048,2048,10,89424709201.8,41181304326.2,41181304326.2,0,0,0,0,0,0,922369876.360414,1531274940.63739,1531274940.63739,0,0,0,0,0,291678965.442681,484231653.635328,484231653.635328,0,0,0,0,0
"5","chunk_size_evaluation","OMP","DYNAMIC",16,6,"LARGE_DATASET",2048,2048,2048,10,90337155058.2,21567559705.9,21567559705.9,0,0,0,0,0,0,11166314474.4612,4376966901.52319,4376966901.52319,0,0,0,0,0,3531098680.90035,1384118465.19832,1384118465.19832,0,0,0,0,0
"6","chunk_size_evaluation","OMP","DYNAMIC",16,8,"LARGE_DATASET",2048,2048,2048,10,90123878278.9,18322579039.6,18322579039.6,0,0,0,0,0,0,478676784.401343,1480892544.07247,1480892544.07247,0,0,0,0,0,151370890.17536,468299340.92303,468299340.92303,0,0,0,0,0
"7","chunk_size_evaluation","OMP","DYNAMIC",16,10,"LARGE_DATASET",2048,2048,2048,10,94020690553,16505746465.4,16505746465.4,0,0,0,0,0,0,8825589878.13746,7081938647.82276,7081938647.82276,0,0,0,0,0,2790896570.94423,2239505637.6693,2239505637.6693,0,0,0,0,0
"8","chunk_size_evaluation","OMP","DYNAMIC",16,12,"LARGE_DATASET",2048,2048,2048,10,93436619543.7,14227422814.4,14227422814.4,0,0,0,0,0,0,12578493549.7954,5361777349.83215,5361777349.83215,0,0,0,0,0,3977668915.109,1695542873.2171,1695542873.2171,0,0,0,0,0
"9","chunk_size_evaluation","OMP","DYNAMIC",16,14,"LARGE_DATASET",2048,2048,2048,10,88642623673.8,13617973850.8,13617973850.8,0,0,0,0,0,0,921900901.002015,611884993.55056,611884993.55056,0,0,0,0,0,291530662.412777,193495024.569721,193495024.569721,0,0,0,0,0
"10","chunk_size_evaluation","OMP","DYNAMIC",16,16,"LARGE_DATASET",2048,2048,2048,10,91961130128,14652795867.9,14652795867.9,0,0,0,0,0,0,6313724709.67568,2117297577.96221,2117297577.96221,0,0,0,0,0,1996575060.18605,669548283.071851,669548283.071851,0,0,0,0,0
"11","chunk_size_evaluation","OMP","DYNAMIC",16,18,"LARGE_DATASET",2048,2048,2048,10,92606103024.9,14403022493.8,14403022493.8,0,0,0,0,0,0,10667935066.326,4723802377.86222,4723802377.86222,0,0,0,0,0,3373497274.03697,1493797473.0564,1493797473.0564,0,0,0,0,0
"12","chunk_size_evaluation","OMP","DYNAMIC",16,20,"LARGE_DATASET",2048,2048,2048,10,91356741181.1,13765385024.5,13765385024.5,0,0,0,0,0,0,12109026353.4502,4998733759.46094,4998733759.46094,0,0,0,0,0,3829210352.39057,1580738409.66728,1580738409.66728,0,0,0,0,0
"13","chunk_size_evaluation","OMP","DYNAMIC",16,22,"LARGE_DATASET",2048,2048,2048,10,92393479415.4,13103977894.9,13103977894.9,0,0,0,0,0,0,7710298051.62159,3264879538.66258,3264879538.66258,0,0,0,0,0,2438210328.18827,1032445562.82535,1032445562.82535,0,0,0,0,0
"14","chunk_size_evaluation","OMP","DYNAMIC",16,24,"LARGE_DATASET",2048,2048,2048,10,88450754521.2,10363118254.2,10363118254.2,0,0,0,0,0,0,10547257451.7657,3437525254.33781,3437525254.33781,0,0,0,0,0,3335335661.57632,1087040931.80571,1087040931.80571,0,0,0,0,0
"15","chunk_size_evaluation","OMP","DYNAMIC",32,1,"LARGE_DATASET",2048,2048,2048,10,89124005751.8,90282628901.1,90282628901.1,0,0,0,0,0,0,597275391.027524,1154404114.51938,1154404114.51938,0,0,0,0,0,188875062.601467,365054634.215109,365054634.215109,0,0,0,0,0
"16","chunk_size_evaluation","OMP","DYNAMIC",32,2,"LARGE_DATASET",2048,2048,2048,10,89414874587.2,79788346948.5,79788346948.5,0,0,0,0,0,0,1369449220.3075,2791045871.15857,2791045871.15857,0,0,0,0,0,433057867.611342,882606200.686995,882606200.686995,0,0,0,0,0
"17","chunk_size_evaluation","OMP","DYNAMIC",32,4,"LARGE_DATASET",2048,2048,2048,10,79940533110.3,24210022909.2,24210022909.2,0,0,0,0,0,0,467459327.931248,289772848.938204,289772848.938204,0,0,0,0,0,147823618.975431,91634220.6720629,91634220.6720629,0,0,0,0,0
"18","chunk_size_evaluation","OMP","DYNAMIC",32,6,"LARGE_DATASET",2048,2048,2048,10,91176018412.2,26213138979.1,26213138979.1,0,0,0,0,0,0,8332408437.1068,8277155197.10346,8277155197.10346,0,0,0,0,0,2634938905.60614,2617466296.95469,2617466296.95469,0,0,0,0,0
"19","chunk_size_evaluation","OMP","DYNAMIC",32,8,"LARGE_DATASET",2048,2048,2048,10,92731808061.6,18639398333.5,18639398333.5,0,0,0,0,0,0,12287340415.9684,7721937038.15099,7721937038.15099,0,0,0,0,0,3885598210.03008,2441890898.89716,2441890898.89716,0,0,0,0,0
"20","chunk_size_evaluation","OMP","DYNAMIC",32,10,"LARGE_DATASET",2048,2048,2048,10,90648758986.8,15464923467.8,15464923467.8,0,0,0,0,0,0,12687403364.8287,5889009943.28104,5889009943.28104,0,0,0,0,0,4012109222.6143,1862268458.41471,1862268458.41471,0,0,0,0,0
