"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"67","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,1,"LARGE_DATASET",2048,2048,2048,10,86315457467.2,14627070600.1,15021046722.3,323806619.7,0,0,323806619.7,45274636.9,24894865.6,8197936731.39997,1633248206.98919,1636125227.36355,359517.36514889,0,0,359517.36514889,27390379.6791832,11546059.226663,2592415218.51799,516478431.847199,517388225.572966,113689.373225293,0,0,113689.373225293,8661598.57630108,3651184.51554575,15021046722.3,517388225.572966,1636125227.36355,0,10,10,10
"68","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,2,"LARGE_DATASET",2048,2048,2048,10,86527673560.5,18071587777,18457653769.5,323656414,0,0,323656414,39120416.3,23289162.2,8505662592.96696,5557874209.52207,5545453569.66724,250013.70528833,0,0,250013.70528833,27216924.7368061,13365268.6579295,2689726680.26693,1757554145.07976,1753626393.88597,79061.2754969207,0,0,79061.2754969207,8606747.3073686,4226469.04991191,18457653769.5,1753626393.88597,5545453569.66724,0,10,10,10
"69","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,4,"LARGE_DATASET",2048,2048,2048,10,85918516336.7,19436164877.8,19829799259,323699091.6,0,0,323699091.6,44420087.2,25515202.4,8176722505.27906,6173225894.73334,6180415757.02784,259420.006082286,0,0,259420.006082286,27873254.301693,9349617.01124795,2585706691.184,1952145433.80882,1954419067.90018,82035.8089834758,0,0,82035.8089834758,8814296.93944361,2956608.50057996,19829799259,1954419067.90018,6180415757.02784,0,10,10,10
"70","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,6,"LARGE_DATASET",2048,2048,2048,10,87306823243.3,19094759901.4,19481491727.4,323717012.1,0,0,323717012.1,41496192.7,21518621.2,7708641327.56406,4151059354.83594,4156418579.77593,227166.852455683,0,0,227166.852455683,34421106.8756646,13395422.0114352,2437686426.04065,1312680226.38306,1314374962.11342,71836.4662651374,0,0,71836.4662651374,10884909.7311182,4236004.37752894,19481491727.4,1314374962.11342,4156418579.77593,0,10,10,10
"71","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,8,"LARGE_DATASET",2048,2048,2048,10,88929773261.1,20128088662.6,20508124303.7,323721298,0,0,323721298,39642909.6,16671433.5,6556235275.17756,4182617488.71159,4184720211.06492,197705.415723045,0,0,197705.415723045,25806248.3109852,7364707.71880663,2073263634.55019,1322659784.55822,1323324723.75057,62519.9419435289,0,0,62519.9419435289,8160652.25265866,2328925.06928518,20508124303.7,1323324723.75057,4184720211.06492,0,10,10,10
"72","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,10,"LARGE_DATASET",2048,2048,2048,10,84283523367.3,17171681721,17555897760.1,323727208.4,0,0,323727208.4,35842455.8,24646374.9,8958619682.11552,5546807581.34887,5536574694.52127,212053.923624681,0,0,212053.923624681,13093705.0930408,12391681.6386234,2832964288.66987,1754054569.97521,1750818647.03382,67057.3385429382,0,0,67057.3385429382,4140593.11045559,3918593.80177375,17555897760.1,1750818647.03382,5536574694.52127,0,10,10,10
"73","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,12,"LARGE_DATASET",2048,2048,2048,10,82467740537.4,10111984231.9,10111984231.9,0,0,0,0,0,0,9145196014.97401,4472341347.89197,4472341347.89197,0,0,0,0,0,0,2891964905.60132,1414278513.30861,1414278513.30861,0,0,0,0,0,0,10111984231.9,1414278513.30861,4472341347.89197,10,0,0,0
"74","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,14,"LARGE_DATASET",2048,2048,2048,10,85284057360.7,11795380138.7,11795380138.7,0,0,0,0,0,0,8989485608.31359,6342946541.1005,6342946541.1005,0,0,0,0,0,0,2842724951.55752,2005815814.65644,2005815814.65644,0,0,0,0,0,0,11795380138.7,2005815814.65644,6342946541.1005,10,0,0,0
"75","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,16,"LARGE_DATASET",2048,2048,2048,10,87164292742.8,13112392192.8,13112392192.8,0,0,0,0,0,0,6789859121.84856,5287441786.46721,5287441786.46721,0,0,0,0,0,0,2147141981.67122,1672035904.0786,1672035904.0786,0,0,0,0,0,0,13112392192.8,1672035904.0786,5287441786.46721,10,0,0,0
"76","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,18,"LARGE_DATASET",2048,2048,2048,10,80806543823.5,8576392228.3,8576392228.3,0,0,0,0,0,0,5611253895.56365,4172794269.61629,4172794269.61629,0,0,0,0,0,0,1774434283.94737,1319553409.92862,1319553409.92862,0,0,0,0,0,0,8576392228.3,1319553409.92862,4172794269.61629,10,0,0,0
"77","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,20,"LARGE_DATASET",2048,2048,2048,10,86489030047.4,12071141383.3,12071141383.3,0,0,0,0,0,0,9000999589.91978,5804576572.08781,5804576572.08781,0,0,0,0,0,0,2846365992.23881,1835568282.065,1835568282.065,0,0,0,0,0,0,12071141383.3,1835568282.065,5804576572.08781,10,0,0,0
"78","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,22,"LARGE_DATASET",2048,2048,2048,10,85605173219.7,10680783152.6,10680783152.6,0,0,0,0,0,0,9548596324.12006,5552860027.30299,5552860027.30299,0,0,0,0,0,0,3019531284.17308,1755968521.43822,1755968521.43822,0,0,0,0,0,0,10680783152.6,1755968521.43822,5552860027.30299,10,0,0,0
"79","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,24,"LARGE_DATASET",2048,2048,2048,10,84541455569.2,8947520152.2,8947520152.2,0,0,0,0,0,0,9508748142.70027,2878842202.21484,2878842202.21484,0,0,0,0,0,0,3006930182.78286,910369838.321393,910369838.321393,0,0,0,0,0,0,8947520152.2,910369838.321393,2878842202.21484,10,0,0,0
"80","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,1,"LARGE_DATASET",2048,2048,2048,10,92356060760.8,15571078731.1,15952709525.5,323686352.7,0,0,323686352.7,34069822.4,23874619.3,14470499564.8767,2048605186.07599,2053569241.67482,219566.576776562,0,0,219566.576776562,4355384.15202478,12121780.6440195,4575973750.54859,647825841.443319,649395613.65572,69433.0480660166,0,0,69433.0480660166,1377293.40053994,3833243.61320443,15952709525.5,649395613.65572,2053569241.67482,0,10,10,10
"81","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,2,"LARGE_DATASET",2048,2048,2048,10,84719060431.2,18197957811,18588420702.7,323698552,0,0,323698552,44518874.4,22245465.3,9549749347.90564,5937558485.70598,5936623121.48739,248072.945388605,0,0,248072.945388605,34836842.2952713,13656836.7361647,3019895902.30895,1877620855.52912,1877325067.39186,78447.5533294556,0,0,78447.5533294556,11016376.8141145,4318670.97193405,18588420702.7,1877325067.39186,5936623121.48739,0,10,10,10
"82","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,4,"LARGE_DATASET",2048,2048,2048,10,84429767207.1,19471659991.5,19853594690,323691951.7,0,0,323691951.7,36305025.5,21937721.3,9110365575.64347,8153271981.39434,8154014276.94306,178289.036636955,0,0,178289.036636955,12480172.8873406,13484093.2369895,2880950553.58244,2578290984.40401,2578525718.86711,56379.9437609983,0,0,56379.9437609983,3946577.19166764,4264044.68109595,19853594690,2578525718.86711,8154014276.94306,0,10,10,10
"83","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,6,"LARGE_DATASET",2048,2048,2048,10,86093915733.1,19365842487.3,19750203846.2,323748942.5,0,0,323748942.5,36243751.9,24368664.5,8511352727.51254,5210431720.76681,5208385867.01579,280231.39440311,0,0,280231.39440311,11628579.7454559,12078518.8649872,2691526058.80261,1647683183.04136,1647036227.28008,88616.9478198787,0,0,88616.9478198787,3677279.79485417,3819563.03746714,19750203846.2,1647036227.28008,5208385867.01579,0,10,10,10
"84","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,8,"LARGE_DATASET",2048,2048,2048,10,86472386924.5,19143723898.2,19522390908,323703366.3,0,0,323703366.3,34465532.2,20498111.3,8837442409.32019,4912983185.35512,4907452557.03405,232934.947924284,0,0,232934.947924284,9487573.96504337,13215655.0492912,2794644670.40179,1553621697.18314,1551872758.9445,73660.4982093448,0,0,73660.4982093448,3000234.31988518,4179157.0726865,19522390908,1551872758.9445,4907452557.03405,0,10,10,10
"85","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,10,"LARGE_DATASET",2048,2048,2048,10,85481332456,13844920868.7,13844920868.7,0,0,0,0,0,0,9648603487.63717,5232225480.50984,5232225480.50984,0,0,0,0,0,0,3051156326.07777,1654574974.998,1654574974.998,0,0,0,0,0,0,13844920868.7,1654574974.998,5232225480.50984,10,0,0,0
"86","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,12,"LARGE_DATASET",2048,2048,2048,10,86238733707,12953675940.5,12953675940.5,0,0,0,0,0,0,8740069853.53995,5159324259.12893,5159324259.12893,0,0,0,0,0,0,2763852764.61605,1631521584.62082,1631521584.62082,0,0,0,0,0,0,12953675940.5,1631521584.62082,5159324259.12893,10,0,0,0
"87","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,14,"LARGE_DATASET",2048,2048,2048,10,86095445454.6,12576705494.3,12576705494.3,0,0,0,0,0,0,8223963708.06931,5569511457.90575,5569511457.90575,0,0,0,0,0,0,2600645671.20631,1761234166.13872,1761234166.13872,0,0,0,0,0,0,12576705494.3,1761234166.13872,5569511457.90575,10,0,0,0
"88","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,16,"LARGE_DATASET",2048,2048,2048,10,86883090035.2,12792328942,12792328942,0,0,0,0,0,0,8890077490.51201,6049002054.55169,6049002054.55169,0,0,0,0,0,0,2811289344.54119,1912862406.34215,1912862406.34215,0,0,0,0,0,0,12792328942,1912862406.34215,6049002054.55169,10,0,0,0
"89","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,18,"LARGE_DATASET",2048,2048,2048,10,86888452455.5,13248854186.3,13248854186.3,0,0,0,0,0,0,6683920308.81106,5118210375.64962,5118210375.64962,0,0,0,0,0,0,2113641187.48989,1618520233.09588,1618520233.09588,0,0,0,0,0,0,13248854186.3,1618520233.09588,5118210375.64962,10,0,0,0
"90","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,20,"LARGE_DATASET",2048,2048,2048,10,85476310567.6,11999582447.6,11999582447.6,0,0,0,0,0,0,9098409806.75477,6560571533.1946,6560571533.1946,0,0,0,0,0,0,2877169807.49575,2074634879.73579,2074634879.73579,0,0,0,0,0,0,11999582447.6,2074634879.73579,6560571533.1946,10,0,0,0
"91","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,22,"LARGE_DATASET",2048,2048,2048,10,83179709390.1,9294677495.8,9294677495.8,0,0,0,0,0,0,9047251758.70418,5694426887.73996,5694426887.73996,0,0,0,0,0,0,2860992212.24693,1800735893.45622,1800735893.45622,0,0,0,0,0,0,9294677495.8,1800735893.45622,5694426887.73996,10,0,0,0
"92","chunk_size_evaluation","OMP+OFF","DYNAMIC",32,24,"LARGE_DATASET",2048,2048,2048,10,85134966773.9,9292109337.6,9292109337.6,0,0,0,0,0,0,9874601406.85362,3637620024.27398,3637620024.27398,0,0,0,0,0,0,3122623143.19604,1150316453.89428,1150316453.89428,0,0,0,0,0,0,9292109337.6,1150316453.89428,3637620024.27398,10,0,0,0
"93","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,1,"LARGE_DATASET",2048,2048,2048,10,90537722454.2,22672504914.3,23059301353.9,323723746.8,0,0,323723746.8,38625157.6,24447535.2,9178652626.26055,1388726980.33661,1389514955.82474,226771.187209193,0,0,226771.187209193,16690598.0934064,12591614.0435405,2902544815.04696,439154030.599156,439403210.327443,71711.3459281491,0,0,71711.3459281491,5278030.54856281,3981817.97953506,23059301353.9,439403210.327443,1389514955.82474,0,10,10,10
"94","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,2,"LARGE_DATASET",2048,2048,2048,10,86178768107,28680443543.6,29066688566,323700710.4,0,0,323700710.4,41311839.3,21232472.7,7977061408.03675,10647665385.7437,10639278538.2755,234968.285241883,0,0,234968.285241883,23934452.0093485,11944063.2456279,2522568308.44259,3367087438.22854,3364435284.18974,74303.4959268479,0,0,74303.4959268479,7568738.28975348,3777044.43732873,29066688566,3364435284.18974,10639278538.2755,0,10,10,10
"95","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,4,"LARGE_DATASET",2048,2048,2048,10,86169116761.5,31801047995.1,32186269814.2,323691077.8,0,0,323691077.8,38932657.6,22598083.7,8012474693.55902,11949743118.5421,11958311677.684,195023.719954038,0,0,195023.719954038,24398682.467787,11902937.2543297,2533766972.61062,3778840570.85164,3781550187.16709,61671.9152813589,0,0,61671.9152813589,7715540.85054248,3764039.25697528,32186269814.2,3781550187.16709,11958311677.684,0,10,10,10
"96","chunk_size_evaluation","OMP+OFF","DYNAMIC",64,6,"LARGE_DATASET",2048,2048,2048,10,87030809378.8,25464189828.7,25538768173.7,64743949.4,0,0,64743949.4,6632160.7,3202234.9,7544125664.52833,8597155616.59901,8837651806.83008,272984493.657822,0,0,272984493.657822,28004287.8098208,13525831.5460016,2385662005.44409,2718659314.73622,2794710887.70855,86325276.5866506,0,0,86325276.5866506,8855733.37299221,4277243.49331215,25538768173.7,2794710887.70855,8837651806.83008,8,2,2,2
