exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
chunk_size_evaluation,1,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33701616711,1426606570,1426606570,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33572995262,1448756295,1448756295,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33579737346,1447357689,1447357689,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33550359139,1440817106,1440817106,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33565199172,1442964797,1442964797,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33558788213,1444271995,1444271995,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33539147414,1426888603,1426888603,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33554146203,1445752612,1445752612,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,32043098843,1395517482,1395517482,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP,24,2000,2000,0,33547452736,1449453136,1449453136,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34310171453,1586528569,1586528569,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34169467634,1571348813,1571348813,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34283019117,1573562645,1573562645,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,4,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34399274668,1595017442,1595017442,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,5,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34451865803,1595043643,1595043643,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,6,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34742954880,1569429019,1569429019,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,7,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34721382683,1520094430,1520094430,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,8,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34686273391,1512212501,1512212501,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,9,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34665928001,1587109603,1587109603,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,10,syr2k,LARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,2048,2048,0,34943190262,1577531789,1577531789,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,1,syr2k,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2000,2000,0,32081929276,1569370596,1569370596,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,2,syr2k,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2000,2000,0,33567267043,1578804522,1578804522,0,0,0,0,0,1,0,0,0
chunk_size_evaluation,3,syr2k,LARGE_DATASET,DYNAMIC,32,24,OMP,24,2000,2000,0,33540324982,1566846867,1566846867,0,0,0,0,0,1,0,0,0
