"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"67","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,1,"LARGE_DATASET",2048,2048,0,10,35775632727.5,7388928166.5,10865665076.1,457525,3408291320.7,0,3408748845.7,49837319.2,18150744.7,1090189070.62176,224488599.375345,254889816.025496,3371.52243883317,3093654.23716931,0,3097025.75960814,27128596.0821929,9438945.46214839,344748054.338691,70989528.2767141,80603237.1021853,1066.16900890785,978299.368248574,0,979365.537257482,8578815.33424499,2984856.63704995,10865665076.1,80603237.1021853,254889816.025496,0,10,10,10
"68","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,2,"LARGE_DATASET",2048,2048,0,10,34346790723.2,7580165799.8,11043100523.4,458887.5,3408438221.5,0,3408897109,38512907.7,15524706.9,308379288.751492,1028056247.40412,1034676250.17016,4454.04677418936,3098263.00742554,0,3102717.05419973,6305361.55132377,6829037.96888476,97518093.5677456,325099930.456257,327193359.14199,1408.49326113641,979756.789370788,0,981165.282631925,1993930.39730358,2159531.42094459,11043100523.4,327193359.14199,1034676250.17016,0,10,10,10
"69","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,4,"LARGE_DATASET",2048,2048,0,10,34346083195.3,5175642261.8,9494783988.2,229234.2,4291737741.3,0,4291966975.5,18538184.5,8636566.4,173063628.152617,4994332517.55482,3148829220.0966,483269.248532948,1949939513.59517,0,1950422782.8437,39252908.7653154,19129097.0560132,54727524.5094707,1579346614.77161,995747229.839689,152823.15484821,616625016.252159,0,616777839.407007,12412859.6485184,6049151.62794232,9494783988.2,995747229.839689,3148829220.0966,0,10,10,10
"70","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,6,"LARGE_DATASET",2048,2048,0,10,34393575234.7,2730244741.6,7870016409.3,45726.7,5134521326.8,0,5134567053.5,3746682.6,1457931.6,236536769.511859,3325729344.75598,2172332628.68588,289201.043766443,1325213105.13668,0,1325502306.18045,23696101.3714432,9124479.690211,74799494.2035748,1051687961.06882,686951894.21482,91453.4,419069179.73361,0,419160633.13361,7493365.2,2885413.82850143,7870016409.3,686951894.21482,2172332628.68588,0,10,10,10
"71","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,8,"LARGE_DATASET",2048,2048,0,10,34336020996.7,2037102572.2,7239032667.1,0,5201917041,0,5201917041,0,13053.9,256168702.17448,177885825.743241,845598700.706689,0,810096502.359557,0,810096502.359557,0,12400.2531318249,81007656.4120685,56252437.2808455,267401788.071217,0,256175007.199217,0,256175007.199217,0,3921.30434592029,7239032667.1,267401788.071217,845598700.706689,0,10,10,10
"72","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,10,"LARGE_DATASET",2048,2048,0,10,34356190820.1,2066500446,5673750760.5,0,3607242582.8,0,3607242582.8,0,7731.7,270381170.949134,237113366.924889,4804857251.60575,0,5007665189.72752,0,5007665189.72752,0,12776.9155050122,85502033.6622612,74981830.3153885,1519429274.70509,0,1583562775.90782,0,1583562775.90782,0,4040.41544673592,5673750760.5,1519429274.70509,4804857251.60575,3,7,7,7
"73","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,12,"LARGE_DATASET",2048,2048,0,10,34459465438,1923529991.6,2412477004.2,0,488946237.4,0,488946237.4,0,775.2,315761677.171982,104972628.847165,3143281285.14117,0,3092367527.10681,0,3092367527.10681,0,4902.79528432506,99852609.7658259,33195259.9132537,993992818.762728,0,977892474.8,0,977892474.8,0,1550.4,2412477004.2,993992818.762728,3143281285.14117,9,1,1,1
"74","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,14,"LARGE_DATASET",2048,2048,0,10,34288678783.6,2125427880.7,2125427880.7,0,0,0,0,0,0,354063262.687635,101289706.460625,101289706.460625,0,0,0,0,0,0,111964634.588344,32030617.5945446,32030617.5945446,0,0,0,0,0,0,2125427880.7,32030617.5945446,101289706.460625,10,0,0,0
"75","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,16,"LARGE_DATASET",2048,2048,0,10,34269695233.7,2057011290.6,2057011290.6,0,0,0,0,0,0,362412999.725392,89679713.3286343,89679713.3286343,0,0,0,0,0,0,114605053.278622,28359215.4029445,28359215.4029445,0,0,0,0,0,0,2057011290.6,28359215.4029445,89679713.3286343,10,0,0,0
"76","chunk_size_evaluation","OMP+OFF","DYNAMIC",16,18,"LARGE_DATASET",2048,2048,0,10,34366304988.3,1970630899.2,1970630899.2,0,0,0,0,0,0,510773279.071176,71201218.7706926,71201218.7706926,0,0,0,0,0,0,161520692.981773,22515802.3495323,22515802.3495323,0,0,0,0,0,0,1970630899.2,22515802.3495323,71201218.7706926,10,0,0,0
