exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
data_size_evaluation,1,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,62021,0,-164482,60275,0,0,73825,30382,1,0,0,0
data_size_evaluation,2,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,40230,0,-111051,45119,0,0,47284,18648,1,0,0,0
data_size_evaluation,3,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,99667,0,-110703,49240,0,0,42186,19277,1,0,0,0
data_size_evaluation,4,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,46656,0,-120340,49100,0,0,48611,22629,1,0,0,0
data_size_evaluation,5,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,66422,0,-120829,46935,0,0,55386,18508,1,0,0,0
data_size_evaluation,6,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,100365,0,-118105,47214,0,0,48192,22699,1,0,0,0
data_size_evaluation,7,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,40230,0,-131236,51614,0,0,54408,25214,1,0,0,0
data_size_evaluation,8,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,40230,0,-106651,47214,0,0,40160,19277,1,0,0,0
data_size_evaluation,9,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,40230,0,-108885,44839,0,0,44141,19905,1,0,0,0
data_size_evaluation,10,gemm,TOY_DATASET,NONE,0,1,CUDA,1,32,32,32,67329,0,-107071,44910,0,0,44071,18090,1,0,0,0
data_size_evaluation,1,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,600168,0,-266662,77037,0,0,141223,48402,1,0,0,0
data_size_evaluation,2,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,310665,0,-187740,61253,0,0,97712,28775,1,0,0,0
data_size_evaluation,3,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,310805,0,-236981,62790,0,0,145275,28916,1,0,0,0
data_size_evaluation,4,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,716386,0,-190465,61603,0,0,99737,29125,1,0,0,0
data_size_evaluation,5,gemm,MINI_DATASET,NONE,0,1,CUDA,1,64,64,64,359766,0,-194584,63348,0,0,102321,28915,1,0,0,0
