exp,execution,benchmark,size_of_data,schedule,chunk_size,num_threads,version,num_threads,NI,NJ,NK,ORIG,OMP_OFF,OMP,CUDA_KERNEL1,CUDA_KERNEL2,CUDA_KERNEL3,DT_H2D,DT_D2H,WORK_FINISHED_BEFORE_OFFLOAD_DECISION,REACH_OFFLOAD_DECISION_POINT,DECIDED_BY_OFFLOADING,MADE_THE_OFFLOADING
overhead-no-offloading,1,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,935401468684,147915418896,147915418896,0,0,0,0,0,1,0,0,0
overhead-no-offloading,2,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,882448320715,102192195209,102192195209,0,0,0,0,0,1,0,0,0
overhead-no-offloading,3,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,940778387929,149491231238,149491231238,0,0,0,0,0,1,0,0,0
overhead-no-offloading,4,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,896160427475,110868067575,110868067575,0,0,0,0,0,1,0,0,0
overhead-no-offloading,5,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,935122202476,146688646187,146688646187,0,0,0,0,0,1,0,0,0
overhead-no-offloading,6,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,885717610901,102811307922,102811307922,0,0,0,0,0,1,0,0,0
overhead-no-offloading,7,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,934283920294,146098808150,146098808150,0,0,0,0,0,1,0,0,0
overhead-no-offloading,8,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,935078844671,148444543049,148444543049,0,0,0,0,0,1,0,0,0
overhead-no-offloading,9,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,899959340135,105481167865,105481167865,0,0,0,0,0,1,0,0,0
overhead-no-offloading,10,gemm,EXTRALARGE_DATASET,DYNAMIC,16,24,OMP+OFF,24,4096,4096,4096,937813797314,146757581924,146757581924,0,0,0,0,0,1,0,0,0
