"","exp","version","schedule","chunk_size","num_threads","size_of_data","NI","NJ","NK","N","mean_orig","mean_omp","mean_omp_off","mean_cuda_kernel_1","mean_cuda_kernel_2","mean_cuda_kernel_3","mean_cuda","mean_dt_h2d","mean_dt_d2h","sd_orig","sd_omp","sd_omp_off","sd_cuda_kernel_1","sd_cuda_kernel_2","sd_cuda_kernel_3","sd_cuda","sd_dt_h2d","sd_dt_d2h","se_orig","se_omp","se_omp_off","se_cuda_kernel_1","se_cuda_kernel_2","se_cuda_kernel_3","se_cuda","se_dt_h2d","se_dt_d2h","mean_plot_value","se_plot_value","sd_plot_value","sum_work_finish_before_offload_decision","sum_reach_offload_decision_point","sum_decided_by_offloading","sum_made_the_offloading"
"1","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"EXTRALARGE_DATASET",4096,4096,4096,10,932698257751.8,958168897944.6,958168897944.6,0,0,0,0,0,0,14907710167.8583,15226637752.8609,15226637752.8609,0,0,0,0,0,0,4714231882.80833,4815085640.53485,4815085640.53485,0,0,0,0,0,0,958168897944.6,4815085640.53485,15226637752.8609,0,10,10,0
"2","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"LARGE_DATASET",2048,2048,2048,10,97252430338,104436888125.8,104436888125.8,0,0,0,0,0,0,23815508446.4649,28278553138.3766,28278553138.3766,0,0,0,0,0,0,7531125032.58072,8942463685.13726,8942463685.13726,0,0,0,0,0,0,104436888125.8,8942463685.13726,28278553138.3766,0,10,10,0
"3","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"MEDIUM_DATASET",512,512,512,10,405978371.2,395747162.8,395747162.8,0,0,0,0,0,0,4605839.43404995,490587.361585455,490587.361585455,0,0,0,0,0,0,1456494.31486187,155137.345390263,155137.345390263,0,0,0,0,0,0,395747162.8,155137.345390263,490587.361585455,0,10,10,0
"4","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"MINI_DATASET",64,64,64,10,344832.7,11862924.6,11862924.6,0,0,0,0,0,0,35855.9113248197,461716.196010012,461716.196010012,0,0,0,0,0,0,11338.6347367456,146007.481198038,146007.481198038,0,0,0,0,0,0,11862924.6,146007.481198038,461716.196010012,10,0,0,0
"5","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"SMALL_DATASET",256,256,256,10,38740244.4,50145693.2,50145693.2,0,0,0,0,0,0,145906.03055757,618522.462308578,618522.462308578,0,0,0,0,0,0,46139.538091605,195593.976487076,195593.976487076,0,0,0,0,0,0,50145693.2,195593.976487076,618522.462308578,0,10,10,0
"6","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"STANDARD_DATASET",1024,1024,1024,10,8149423949.3,8705099289.9,8705099289.9,0,0,0,0,0,0,249687367.430596,43635398.0567582,43635398.0567582,0,0,0,0,0,0,78958078.4052027,13798724.4467441,13798724.4467441,0,0,0,0,0,0,8705099289.9,13798724.4467441,43635398.0567582,0,10,10,0
"7","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"TINY_DATASET",128,128,128,10,4398703.6,16859479.5,16859479.5,0,0,0,0,0,0,2788736.25271985,2488379.21181376,2488379.21181376,0,0,0,0,0,0,881875.835207766,786894.599154606,786894.599154606,0,0,0,0,0,0,16859479.5,786894.599154606,2488379.21181376,0,10,10,0
"8","overhead-no-offloading","OMP+OFF","DYNAMIC",16,1,"TOY_DATASET",32,32,32,10,42751.3,10257489.8,10257489.8,0,0,0,0,0,0,8314.95365390972,930526.573957778,930526.573957778,0,0,0,0,0,0,2629.41921850942,294258.33970197,294258.33970197,0,0,0,0,0,0,10257489.8,294258.33970197,930526.573957778,10,0,0,0
"9","overhead-no-offloading","OMP+OFF","DYNAMIC",16,2,"EXTRALARGE_DATASET",4096,4096,4096,10,922932131304,657646916236.2,657646916236.2,0,0,0,0,0,0,56535655529.956,62677531936.2293,62677531936.2293,0,0,0,0,0,0,17878144048.5355,19820375903.6428,19820375903.6428,0,0,0,0,0,0,657646916236.2,19820375903.6428,62677531936.2293,0,10,10,0
"10","overhead-no-offloading","OMP+OFF","DYNAMIC",16,2,"LARGE_DATASET",2048,2048,2048,10,98757548453,61539922450.4,61539922450.4,0,0,0,0,0,0,35813059379.3364,25444705996.3067,25444705996.3067,0,0,0,0,0,0,11325083761.7559,8046322534.1673,8046322534.1673,0,0,0,0,0,0,61539922450.4,8046322534.1673,25444705996.3067,0,10,10,0
